location,off_time,horse_name,jockey,trainer,trainer_win_pct,trainer_runs,age,distance_f,race_class,field_size,form_string,odds,status,going,distance,cd_winner,rp_or,rp_rpr,rp_ts
Ffos Las,5:02,Atalanta Mist,Jack Doughty,Marcus Tregoning,17.0,6.0,3.0,12.0,Class 6,10,-53323,4.0,Active,Good,1m3f209y,0,53.0,0.0,0.0
Ffos Las,5:02,Saxophonic,Luke Morris,David Simcock,0.0,8.0,3.0,12.0,Class 6,10,0-3864,5.9,Active,Good,1m3f209y,0,52.0,0.0,0.0
Ffos Las,5:02,Dream Of Ithaca,Liam Wright(5),John Gallagher,0.0,6.0,3.0,12.0,Class 6,10,-45581,9.4,Active,Good,1m3f209y,0,52.0,0.0,0.0
Ffos Las,5:02,Emerald Reine,Ryan Kavanagh(3),Julia & Shelley Birkett,25.0,4.0,3.0,12.0,Class 6,10,779,30.0,Active,Good,1m3f209y,0,48.0,0.0,0.0
Ffos Las,5:02,Beau Chevalier,Rose Dawes(5),Ed de Giles,0.0,5.0,3.0,12.0,Class 6,10,-95800,38.0,Active,Good,1m3f209y,0,45.0,0.0,0.0
Hamilton,4:33,Pikachu,David Egan,Charlie Johnston,13.0,38.0,2.0,8.5,Class 3,3,2534,1.05,Active,Good To Soft,1m68y,0,106.0,0.0,0.0
Hamilton,4:33,Trumpety Trump,Rhys Elliott(5),Jim Goldie,10.0,39.0,2.0,8.5,Class 3,3,34,28.0,Active,Good To Soft,1m68y,0,75.0,0.0,0.0
Hamilton,4:33,Nice Neasy Does It,David Allan,Tim Easterby,5.0,85.0,2.0,8.5,Class 3,3,,34.0,Active,Good To Soft,1m68y,0,0.0,0.0,0.0
Hamilton,5:07,Krissy,Rhys Elliott(5),Jim Goldie,10.0,39.0,5.0,9.0,Class 4,9,106149,30.0,Active,Good To Soft,1m1f35y,0,73.0,0.0,0.0
Hamilton,5:07,Polygram,David Allan,Tristan Davidson,17.0,6.0,4.0,9.0,Class 4,9,634212,6.0,Active,Good To Soft,1m1f35y,0,73.0,0.0,0.0
Hamilton,5:07,Porth Eilian,Callum Rodriguez,Edward Bethell,31.0,29.0,3.0,9.0,Class 4,9,541313,6.8,Active,Good To Soft,1m1f35y,0,79.0,0.0,0.0
Hamilton,5:07,Foxy Night,David Egan,John Butler,24.0,25.0,3.0,9.0,Class 4,9,43323,5.5,Active,Good To Soft,1m1f35y,0,78.0,0.0,0.0
Hamilton,5:07,Thankfully,Sam James,K. R. Burke,22.0,37.0,3.0,9.0,Class 4,9,-15089,19.0,Active,Good To Soft,1m1f35y,0,77.0,0.0,0.0
Hamilton,5:07,Wild Dahlia,Cieren Fallon,William Haggas,20.0,41.0,3.0,9.0,Class 4,9,3412-3,3.45,Active,Good To Soft,1m1f35y,0,75.0,0.0,0.0
Hamilton,5:07,Sharona,William Pyle,Jessica Bedi,0.0,3.0,5.0,9.0,Class 4,9,710/0-,100.0,Active,Good To Soft,1m1f35y,0,67.0,0.0,0.0
